step,event,x,y,height,angle
567,get_location,3 cm,5 cm,0 cm,334°
568,rotate_success,3 cm,5 cm,0 cm,0°
569,get_location,3 cm,5 cm,0 cm,0°
570,advance_success,4 cm,5 cm,0 cm,0°
571,get_location,4 cm,5 cm,0 cm,0°
572,scan,4 cm,5 cm,0 cm,0°
573,rotate_success,4 cm,5 cm,0 cm,32°
574,get_location,4 cm,5 cm,0 cm,32°
575,rotate_success,4 cm,5 cm,0 cm,64°
576,get_location,4 cm,5 cm,0 cm,64°
577,rotate_success,4 cm,5 cm,0 cm,90°
578,get_location,4 cm,5 cm,0 cm,90°
579,scan,4 cm,5 cm,0 cm,90°
580,rotate_success,4 cm,5 cm,0 cm,122°
581,get_location,4 cm,5 cm,0 cm,122°
582,rotate_success,4 cm,5 cm,0 cm,154°
583,get_location,4 cm,5 cm,0 cm,154°
584,rotate_success,4 cm,5 cm,0 cm,180°
585,get_location,4 cm,5 cm,0 cm,180°
586,scan,4 cm,5 cm,0 cm,180°
587,rotate_success,4 cm,5 cm,0 cm,212°
588,get_location,4 cm,5 cm,0 cm,212°
589,rotate_success,4 cm,5 cm,0 cm,244°
590,get_location,4 cm,5 cm,0 cm,244°
591,rotate_success,4 cm,5 cm,0 cm,270°
592,get_location,4 cm,5 cm,0 cm,270°
593,scan,4 cm,5 cm,0 cm,270°
594,scan,4 cm,5 cm,0 cm,270°
595,scan,4 cm,5 cm,0 cm,270°
596,advance_success,4 cm,4 cm,0 cm,270°
597,get_location,4 cm,4 cm,0 cm,270°
598,scan,4 cm,4 cm,0 cm,270°
599,rotate_success,4 cm,4 cm,0 cm,302°
600,get_location,4 cm,4 cm,0 cm,302°
601,rotate_success,4 cm,4 cm,0 cm,334°
602,get_location,4 cm,4 cm,0 cm,334°
603,rotate_success,4 cm,4 cm,0 cm,0°
604,get_location,4 cm,4 cm,0 cm,0°
605,scan,4 cm,4 cm,0 cm,0°
606,rotate_success,4 cm,4 cm,0 cm,32°
607,get_location,4 cm,4 cm,0 cm,32°
608,rotate_success,4 cm,4 cm,0 cm,64°
609,get_location,4 cm,4 cm,0 cm,64°
610,rotate_success,4 cm,4 cm,0 cm,90°
611,get_location,4 cm,4 cm,0 cm,90°
612,scan,4 cm,4 cm,0 cm,90°
613,rotate_success,4 cm,4 cm,0 cm,122°
614,get_location,4 cm,4 cm,0 cm,122°
615,rotate_success,4 cm,4 cm,0 cm,154°
616,get_location,4 cm,4 cm,0 cm,154°
617,rotate_success,4 cm,4 cm,0 cm,180°
618,get_location,4 cm,4 cm,0 cm,180°
619,scan,4 cm,4 cm,0 cm,180°
620,scan,4 cm,4 cm,0 cm,180°
621,scan,4 cm,4 cm,0 cm,180°
622,rotate_success,4 cm,4 cm,0 cm,212°
623,get_location,4 cm,4 cm,0 cm,212°
624,rotate_success,4 cm,4 cm,0 cm,244°
625,get_location,4 cm,4 cm,0 cm,244°
626,rotate_success,4 cm,4 cm,0 cm,270°
627,get_location,4 cm,4 cm,0 cm,270°
628,advance_success,4 cm,3 cm,0 cm,270°
629,get_location,4 cm,3 cm,0 cm,270°
630,scan,4 cm,3 cm,0 cm,270°
631,rotate_success,4 cm,3 cm,0 cm,302°
632,get_location,4 cm,3 cm,0 cm,302°
633,rotate_success,4 cm,3 cm,0 cm,334°
634,get_location,4 cm,3 cm,0 cm,334°
635,rotate_success,4 cm,3 cm,0 cm,0°
636,get_location,4 cm,3 cm,0 cm,0°
637,scan,4 cm,3 cm,0 cm,0°
638,rotate_success,4 cm,3 cm,0 cm,32°
639,get_location,4 cm,3 cm,0 cm,32°
640,rotate_success,4 cm,3 cm,0 cm,64°
641,get_location,4 cm,3 cm,0 cm,64°
642,rotate_success,4 cm,3 cm,0 cm,90°
643,get_location,4 cm,3 cm,0 cm,90°
644,scan,4 cm,3 cm,0 cm,90°
645,rotate_success,4 cm,3 cm,0 cm,122°
646,get_location,4 cm,3 cm,0 cm,122°
647,rotate_success,4 cm,3 cm,0 cm,154°
648,get_location,4 cm,3 cm,0 cm,154°
649,rotate_success,4 cm,3 cm,0 cm,180°
650,get_location,4 cm,3 cm,0 cm,180°
651,scan,4 cm,3 cm,0 cm,180°
652,scan,4 cm,3 cm,0 cm,180°
653,scan,4 cm,3 cm,0 cm,180°
654,advance_success,3 cm,3 cm,0 cm,180°
655,get_location,3 cm,3 cm,0 cm,180°
656,scan,3 cm,3 cm,0 cm,180°
657,rotate_success,3 cm,3 cm,0 cm,212°
658,get_location,3 cm,3 cm,0 cm,212°
659,rotate_success,3 cm,3 cm,0 cm,244°
660,get_location,3 cm,3 cm,0 cm,244°
661,rotate_success,3 cm,3 cm,0 cm,270°
662,get_location,3 cm,3 cm,0 cm,270°
663,scan,3 cm,3 cm,0 cm,270°
664,rotate_success,3 cm,3 cm,0 cm,302°
665,get_location,3 cm,3 cm,0 cm,302°
666,rotate_success,3 cm,3 cm,0 cm,334°
667,get_location,3 cm,3 cm,0 cm,334°
668,rotate_success,3 cm,3 cm,0 cm,0°
669,get_location,3 cm,3 cm,0 cm,0°
670,scan,3 cm,3 cm,0 cm,0°
671,rotate_success,3 cm,3 cm,0 cm,32°
672,get_location,3 cm,3 cm,0 cm,32°
673,rotate_success,3 cm,3 cm,0 cm,64°
674,get_location,3 cm,3 cm,0 cm,64°
675,rotate_success,3 cm,3 cm,0 cm,90°
676,get_location,3 cm,3 cm,0 cm,90°
677,scan,3 cm,3 cm,0 cm,90°
678,scan,3 cm,3 cm,0 cm,90°
679,scan,3 cm,3 cm,0 cm,90°
680,rotate_success,3 cm,3 cm,0 cm,122°
681,get_location,3 cm,3 cm,0 cm,122°
682,rotate_success,3 cm,3 cm,0 cm,154°
683,get_location,3 cm,3 cm,0 cm,154°
684,rotate_success,3 cm,3 cm,0 cm,180°
685,get_location,3 cm,3 cm,0 cm,180°
686,advance_success,2 cm,3 cm,0 cm,180°
687,get_location,2 cm,3 cm,0 cm,180°
688,scan,2 cm,3 cm,0 cm,180°
689,rotate_success,2 cm,3 cm,0 cm,212°
690,get_location,2 cm,3 cm,0 cm,212°
691,rotate_success,2 cm,3 cm,0 cm,244°
692,get_location,2 cm,3 cm,0 cm,244°
693,rotate_success,2 cm,3 cm,0 cm,270°
694,get_location,2 cm,3 cm,0 cm,270°
695,scan,2 cm,3 cm,0 cm,270°
696,rotate_success,2 cm,3 cm,0 cm,302°
697,get_location,2 cm,3 cm,0 cm,302°
698,rotate_success,2 cm,3 cm,0 cm,334°
699,get_location,2 cm,3 cm,0 cm,334°
700,rotate_success,2 cm,3 cm,0 cm,0°
701,get_location,2 cm,3 cm,0 cm,0°
702,scan,2 cm,3 cm,0 cm,0°
703,rotate_success,2 cm,3 cm,0 cm,32°
704,get_location,2 cm,3 cm,0 cm,32°
705,rotate_success,2 cm,3 cm,0 cm,64°
706,get_location,2 cm,3 cm,0 cm,64°
707,rotate_success,2 cm,3 cm,0 cm,90°
708,get_location,2 cm,3 cm,0 cm,90°
709,scan,2 cm,3 cm,0 cm,90°
710,scan,2 cm,3 cm,0 cm,90°
711,scan,2 cm,3 cm,0 cm,90°
712,finished,2 cm,3 cm,0 cm,90°
